1;https://productcenter.ru/producers/22334/ooo-palanzh;Российский завод полимерных труб Паланж;Пресс-фитинг угольник Palanzh (Паланж);Пресс-фитинг тройник Palanzh (Паланж);Пресс-фитинг прямой Palanzh (Паланж);Труба из термостойкого полиэтилена Pert;Металлопластиковая труба Pex-al-Pex Palanzh;Труба из сшитого полиэтилена Pex Palanzh;Металлопластиковая труба Pert-al-Pert Palanzh;0;0;0
2;https://productcenter.ru/producers/18284/chiernovskoi-khlieb;Хлебзавод «Черновской Хлеб»;Сухари в ассортименте;Хлеб белый, серый , столовый;0;0;0;0;0;0;0;0
3;https://productcenter.ru/producers/20805/uralekspriesszapchast;ООО «УралЭкспрессЗапчасть»;Утеплитель капота / Утеплитель радиатора УРАЛ;Утеплитель пола кабины (из 3-х частей), Камаз;Чехол сиденья пассажира (спинка+сидушка), кожа;5557Я-5109010 Коврик пола кабины УРАЛ пластиковый;4320-6803010/5010 Сиденье водителя в сборе;0;0;0;0;0
4;https://productcenter.ru/producers/21136/tm-liedientsovaia-fabrika;ТМ «Леденцовая фабрика»;Форма для пряников под роспись;Формы для приготовления леденцов в ассортименте;Форма для печенья и пряников;Кулинарный набор «Леденцы своими руками»;0;0;0;0;0;0
5;https://productcenter.ru/producers/28975/polipromplast;ТМ «Леденцовая фабрика»;0;0;0;0;0;0;0;0;0;0
6;https://productcenter.ru/producers/26703/ooo-invient-strep;ООО «ИНВЕНТ СТРЭП», г.Магнитогорск;Упаковочная ПЭТ лента;0;0;0;0;0;0;0;0;0
7;https://productcenter.ru/producers/15708/net-universe-eko-sriedstva-dlia-uborki-doma-i-stirki;«Net Universe» производитель средств для уборки;Бесфосфатное  средство для стирки белья;Безопасное универсальное дезинфицирующее средство;Средство для удаления жировых загрязнений на кухне;0;0;0;0;0;0;0
8;https://productcenter.ru/producers/6483/format-plius;Формат-Плюс, г.Челябинск;Навесы и беседки со скамьями;Детские карусели многоместные;Детские горки с ограждениями;0;0;0;0;0;0;0
9;https://productcenter.ru/producers/5309/ooo-chiebarkulskaia-ptitsa;ООО «Чебаркульская птица»;Тушка цыпленка варено-копченая;Охлажденное куриное мясо;Куриное яйцо в упаковке;0;0;0;0;0;0;0
10;https://productcenter.ru/producers/4080/pk-miebielnyie-tiekhnologii;ПК «Мебельные технологии»;Шкафы купе для квартир и офисов;Игровая детская мебель для детских учреждений;Столы ученические для школьных учреждений;0;0;0;0;0;0;0
11;https://productcenter.ru/producers/19671/ao-kipz;АО «КИПЗ», г.Катав-Ивановск;Клапан электромагнитный КЭМ-2;компас магнитный для катеров, яхт;компас магнитный;Тележка электрическая труборельсовая «Лиана»;Многоцелевой катер «АвтоБот-63»;0;0;0;0;0
12;https://productcenter.ru/producers/13018/gradus-vyshie;Градус Выше;Дистиллятор двойной перегонки «Горилыч» 10/35/t;Самогонный аппарат «Горилыч» Абрамова 12/35/t;Самогонный аппарат «Горилыч» - Премиум 12/35/t;0;0;0;0;0;0;0
13;https://productcenter.ru/producers/6583/ooo-agrokomplieks-churilovo;ООО Агрокомплекс «Чурилово»;Зелень свежая в горшочках;Помидоры свежие среднеплодные и крупноплодные;Огурцы свежие длинноплодные и среднеплодные;0;0;0;0;0;0;0
14;https://productcenter.ru/producers/6577/agropromyshliennyi-kholding-ariant;Агропромышленный холдинг «Ариант»;Колбаса Московская ГОСТ варено-копченая;Бекон деликатесный сырокопченый «Тирольский»;Мясные пельмени фирменные;0;0;0;0;0;0;0
15;https://productcenter.ru/producers/5393/kompaniia-zhilkomsnab;Производитель пластмассовых изделий «Рóтомо», г.Коркино;Контейнер для противогололедных материалов;Двухслойные пластиковые колодцы;Понтоны на плавучих модулях;0;0;0;0;0;0;0
16;https://productcenter.ru/producers/2454/uralkran;Крановый завод «УРАЛКРАН»;Тали электрические канатные;Краны электрические консольные;Краны мостовые электриеские;0;0;0;0;0;0;0
17;https://productcenter.ru/producers/2326/ooo-karabashskiie-abrazivy;ООО «Завод «КАЗ»;Абразив для пескоструя;Шлаковый песок ( купершлак) фракция 0,8-2,5 мм.;Абразивный порошок (купершлак) для пескоструйной очистки фракция 0,2-1,6 мм.;Купершлак для пескоструя - фракция 0,5-2,5 мм;Материал для пескоструя (Купершлак) фр 0,1-0,6;0;0;0;0;0
