id;products
1;[-1, 1001, -1, -1, 174, -1, -1, 556, -1, -1, 174, -1, -1, 175, -1, -1, 174, -1, 6, 111, 69, -1, -1, -1, -1, 557, 235, -1, 6, 111, 69, -1, -1, -1, 557, 174, 6, 111, 69, 1003, 176, -1, 6, 111, 69, -1, 174]
2;[560, 57, 359, 20, -1, 84, -1, 1004]
3;[112, 1005, -1, 112, 236, 85, 112, 69, 138, -1, -1, 561, -1, -1, 177, 1007, 562, 1008, -1, -1, -1, -1, 58, -1, 563, 69, 138, 85, 11, -1, 562, 1015, 564]
4;[59, 361, 1016, 59, 86, 565, 57, 59, 46, 361, 1017, 5, 565, 1018, 566]
5;[178, 87]
6;[237, 362, 88]
7;[1019, 60, 61, 20, 363, 567, 1020, 60, 60, 568, 1021, 364, 47]
8;[1022, 569, 365, 1, 1023, 1024, 1, 366, 570]
9;[571, 1025, -1, 367, 139, 140, 139, 1026, 27]
10;[48, 368, 573, 369, 90, 1, 17, 1, 370, 91, 1027, 238, 370]
11;[179, 574, -1, 575, 576, 577, -1, 1029, 575, 576, 239, 21, 1030, 1031, 1032, 577, -1]
12;[371, 578, 1035, 240, -1, 242, 180, 240, 1036, -1, 242, 180, 240, 181, -1]
13;[243, 141, 1037, 1038, 141, 579, 1039, 580, 141, 1040, 579]
14;[182, 1041, 18, -1, 1042, 1043, 581, 1044, 183, 114, 1045]
15;[142, 1046, 1047, 582, 11, 1048, 583, 1049, 584]
16;[1050, 21, 1051, 3, 21, 1052, 3, 374, 1053]
17;[1054, 375, 376, 184, -1, 244, -1, 92, -1, 38, 376, 184, -1, 244, -1, 1055, 585, 92, -1, 38, 244, 375, 92, -1, 38, 1056, 375, -1, 244, -1, 1057, -1]
18;[1058, 378, 1059, 20, 245, -1, 246, 1062, 247, 143, 245, -1, 249, 49, -1, 69, 587, 245, -1, 246, 379, 247, 245, -1, -1, 93, 250]
19;[1065, 48, -1, 588]
20;[1067, 145, 1068, 251, 589, -1, 1069, 1070, 50, -1, -1, 251, 589, -1, 145, 1072, -1, 116, -1, 590, 186, 3, -1, 591, 113, 382, 116, -1, 592, 1073, 145, 50, 115, 94, 116]
21;[383, 1074, 29, 1075, 32, 383, 252, -1, -1, -1, 70, -1, 39, 1080, 384, 594, 71, 95, 595, 1081, 384, 1082]
22;[385, 187]
23;[386, 6, 1083, 1084, 386, 253, 387, 254, 596, 111, 69, 254, 1085, 597, 10, 38, 598, 1086]
24;[62, 371, 1087, 255, 62, 1088, 1089, -1]
25;[-1, 61, 599, 87, -1, -1, 61, 1, 20, -1, 72, -1, 188, 61, 20, -1, -1, 61, 602, 364, 72, 61, 603, -1, 1092, -1, -1]
26;[40, -1, -1, 1096, 256, -1, -1, 586, 1097, 250]
27;[73, 5, -1, 72, -1, 186, 72, 257, 117, 1099, 60, 1100, 146, 28, 15, 389, 186, 605, -1]
28;[606, 184, -1, -1]
29;[147, 365, 1104, 1105]
30;[118, 607, 608, 119, 12, 609, 390, 1106, 390, 1107]
31;[258, 1108, 29, 1109, 7]
32;[610, 1110, 391, 1111]
33;[242, 180, 240, 1112, 1113, 16, 392, 611, 117, 591]
34;[612, 259, 1114, 260]
35;[-1, 1117, 613, 1118, 1119, 4, 613, 1120]
36;[1121, 1122, 1123, 614, 261, 1124, 63, 393, 615, 1125]
37;[394, 1, 1126, 2, 1127]
38;[1128, 1129, 148, 395, 148, 616, 1130]
39;[396, 70, -1, 74, 46, 396, 70, -1, 74, 46, 396, 70, -1, 74, 46]
40;[189, 1135, 58, 41, 190, 73, 1136, 190, 64, 262, 1137, 50]
41;[1138, 96, 617, 41, 263, 1139, 397, 41, 190, 1140, 1141, 41, 1142]
42;[149, 264, 1143, 1144, 191, 8, 261, 618, 265, 1145, 618, 265, 11, 1146]
43;[238, 59, 398, 1147, 1148, 28, 23, 192, 28, 266, 8, 1149, 87]
44;[1150, 267, 75, 1151, 41, 1152, 399, 5, 1153, 1154, 6, 190, 263]
45;[96, 120, 1155, 1156, 73, 619, 5, 620, 190, 1157, 1158, 87, 268, 1159]
46;[1160, 193, 400, 1161, 621, 1162, 1163, 150, 1164, 622, 76]
47;[623, 46, 194, 269, 46, 77, 1165, 1166, 46]
48;[1167, 1168, -1, 270, 1170, 1171, 195, -1, 70, 1173, -1, 1175, 41]
49;[39, 1176, 1177, 39, 74, 1178, 624, 145, 50]
50;[402, 196, 197, 1179, 403, 33, 11, 27, 1180]
51;[1, 17, 1181, 1, 17, 1182, 1, 17, 1183]
52;[271, 121, 1184, 271, 1185, 121, 271, 121, 1186]
53;[1, 24, 62, 97, 15, 625, 626, 272, 627]
54;[1187, 628, 1188, 273, 1189, 629, 1190, 404, 198, 86]
55;[1191, 71, 1192, 142, 1193, 274, 366, 39, 34, 630, 39, 1, 630]
56;[405, 1194, -1, 1195, -1, 1196, 71, 406]
57;[1197, 1198, 199, 407, 151, 74, -1, 39, 1201, 275, 276]
58;[277, 17, 277, 91, -1, 48, -1, 278, 1202, 631, 277, 19, 17, 200, 19, 17, 17, 1203, 1204, -1, 1205, -1, 1206]
59;[1207, 98, 1208, 1209, 271, 121]
60;[408, 1210, 1211, 1, 632, 20, 279, 1212, -1, 634, 24, 1, 279, 1213, 24, 1, 279, -1]
61;[636, 1214, 201, 637]
62;[638, 1215, 639, 640, 62, 641, 639, 640, 642, 1216, 387]
63;[643, 280, -1, 280, -1, 1218, -1, 645, 1221, 631, 280, -1, 645, 202, 280, -1]
64;[-1, 42, 1223, -1, 281, -1, 1224]
65;[150, 123, 18, 647, 123, 1225, -1, 1226, 18]
66;[-1, 11, 30, -1, 1227, -1, -1, -1, 649, 1228, 1229]
67;[1230, 275, 41, 650, 651, 51, 1231]
68;[282, -1, -1, -1, -1, 282, 1233, 1234, -1, -1, 652, 653, -1, 654, 414, -1, -1]
69;[1236, 1237, 415, 152, 63, 415, 152, 152, 203, 146, 284]
70;[285, 34, 204, -1, 286, 1238, 285, 34, 204, -1, 286, 1239, 285, 34, 204, -1, 286, 1240, 285, 34, 204, -1, 286, 1241]
71;[1242, 16, 187, 287, 16, 556, 1243]
72;[99, 416, 20, 397, 1244, 417, 1245, 1246, -1, -1, -1, 38]
73;[655, -1, 40, -1, 1249, -1, 40, -1, 40, -1, 1251, 40, -1, 1252, 40, -1, 143, 657]
74;[35, 658, 52, 207, 1253, 208, 1254, 41, 419, 207, 277, 658, 7, 207]
75;[40, -1, 40, -1, 40, -1]
76;[420, 1256, 57, 420, 1257, 57, 420, -1]
77;[1260, 289, 290, -1, 1261, 1262, 153]
78;[1263, 1264, 45, -1, 659, 261, 291, 660, 1265, 8, -1, 661]
79;[64, 662, 263, 1268, 96, 5, 41, 5, 663, 41, 263]
80;[126, 25, 421, 1269, 71, 292, 92, -1, 1270, 53, 92, 1271]
81;[422, 1272, 664, 268, 278, 1273, 665, 666, 667, 668, 60, 47, 1274, 1275]
82;[73, 30, 669, 423, 30, 1276, 423, 1277, -1, 424]
83;[1278, 197, 140, 293, -1, 670, -1, 1279, 77, 254, 425, 62, -1]
84;[35, 13, 9, -1, 65, 13, 9, 1283, 13, 9, 154, 84, -1, -1]
85;[1284, 2, 294, 427, 295, 404, 629, 2, 294, 427, 295, 296, 33, 2, 294, 427, 295]
86;[4, 66, 67, 36, 155, 78, -1, 4, 66, 67, 36, 155, 78, -1, -1, -1, -1, 4, 66, 67, 36, 1285, 78, 678, 679, -1, -1, -1, 4, 66, 67, 36, 1286, 678, 679, -1, -1, -1, 4, 66, 67, 36, 428, 78, -1, -1, 297, 4, 66, 67, 36, 428, 78, -1, 4, 66, 67, 36, 428, 78, -1, -1, -1, -1, 4, 66, 67, 36, 1287, 78, -1, -1, 297, 4, 66, 67, 36, 155, 1288, 4, 66, 67, 36, 155, 78, 1289]
87;[149, 264, -1, 139, 89, 1291]
88;[1292, 101, 298, 156, 118, 1293, 101, 195, 156, 118]
89;[1294, 27, 1295, 684, 182, 1296, 684]
90;[429, 685, 1297, 1298, 430, 283, 1299, 1300, 1301, 1302, 430, 429, 431]
91;[1, 102, 686, 23, 103, 1303, 686, 102, 157]
92;[299, -1, 1305, 1306, 19, 432, -1, 42, 433, 12, -1]
93;[300, 60, 61]
94;[3, 1309, -1, -1]
95;[210, 688, 689, 210, 434, 260, 210, 196, 260]
96;[397, 690, 691, 435, -1, 377, -1, -1, 38, 1311, 690, 691, 414, -1, 692, -1, 7, 38, 1312, 620, -1, 1315]
97;[-1, 1316, 1317, 693, 694]
98;[238, 59, 157, 1318, 1319, 1320]
99;[2, 104, 1321, 436, 1322, 2, 104, 695, 1323, 2, 104, 437, 1324, 1325, 2, 104, 1326, 438, 2, 104, 1327, 89, 2, 104, 695, -1, 2, 104, 1329, 438, 2, 104, 1330, 438]
100;[127, 1331, -1, 7, -1, 105, -1, 301, 1332, 202, -1, 647, 1333, 697, 1334, -1, 144, -1, 105, -1, 439, 698, -1, -1, 1336, -1, 699, 5, 698, -1, 435, 1337, -1, 178, 94, -1, 105, -1, 700, -1, 243, 106, -1, 105, -1, 1338, 1, 701, 7, -1, 105, -1, 439, 1, 702, 7, -1, 105, -1, 1339, 696, -1, 1340, -1, 1341, -1, 1342, 701, -1, 391, -1, 243, -1, 1343, 113, -1, 105, -1, 1344, 1, 702, -1, 105, -1]
101;[1345, 9, -1, -1, -1, -1, -1, -1, -1, -1, -1, 13, 12, -1, -1, -1, 9, 13, -1, -1, -1]
102;[1359, 29, 1360, 1361]
